"ámbitos territoriales","año de nacimiento","sexo","2025/01/01"
"Antzuola","1933","Total",3
"Antzuola","1932","Total",3
"Antzuola","1931","Total",3
"Antzuola","1930","Total",1
"Antzuola","1929","Total",3
"Antzuola","1928","Total",2
"Antzuola","1927","Total",1
"Antzuola","1926","Total",1
"Antzuola","1925","Total",2
"Antzuola","1924","Total",1
"Antzuola","1923","Total",0
"Antzuola","1922","Total",1
"Antzuola","1921","Total",0
"Antzuola","1920","Total",0
"Antzuola","1919","Total",0
"Antzuola","1918","Total",0
"Antzuola","1917","Total",0
"Antzuola","1916","Total",0
"Antzuola","1915","Total",0
"Antzuola","1914","Total",0
"Antzuola","1913","Total",0
"Antzuola","1912","Total",0
"Antzuola","1911","Total",0
"Antzuola","1910","Total",0
"Antzuola","1909","Total",0
"Antzuola","1908","Total",0
"Antzuola","1907","Total",0
"Antzuola","1906","Total",0
"Antzuola","1905","Total",0
"Antzuola","1904","Total",0
"Antzuola","1903","Total",0
"Antzuola","1902","Total",0
"Antzuola","1901","Total",0
"Antzuola","1900","Total",0
"Antzuola","1899","Total",0
"Antzuola","1898","Total",0
"Antzuola","1897","Total",0
"Antzuola","1896","Total",0
"Antzuola","<= 1895","Total",0
"Arama","1949","Total",2
"Arama","1948","Total",2
"Arama","1947","Total",3
"Arama","1946","Total",3
"Arama","1945","Total",2
"Arama","1944","Total",0
"Arama","1943","Total",2
"Arama","1942","Total",1
"Arama","1941","Total",2
"Arama","1940","Total",0
"Arama","1939","Total",1
"Arama","1938","Total",3
"Arama","1937","Total",2
"Arama","1936","Total",1
"Arama","1935","Total",0
"Arama","1934","Total",0
"Arama","1933","Total",1
"Arama","1932","Total",2
"Arama","1931","Total",0
"Arama","1930","Total",0
"Arama","1929","Total",0
"Arama","1928","Total",0
"Arama","1927","Total",0
"Arama","1926","Total",0
"Arama","1925","Total",0
"Arama","1924","Total",0
"Arama","1923","Total",0
"Arama","1922","Total",0
"Arama","1921","Total",0
"Arama","1920","Total",0
"Arama","1919","Total",0
"Arama","1918","Total",0
"Arama","1917","Total",0
"Arama","1916","Total",0
"Arama","1915","Total",0
"Arama","1914","Total",0
"Arama","1913","Total",0
"Arama","1912","Total",0
"Arama","1911","Total",0
"Arama","1910","Total",0
"Arama","1909","Total",0
"Arama","1908","Total",0
"Arama","1907","Total",0
"Arama","1906","Total",0
"Arama","1905","Total",0
"Arama","1904","Total",0
"Arama","1903","Total",0
"Arama","1902","Total",0
"Arama","1901","Total",0
"Arama","1900","Total",0
"Arama","1899","Total",0
"Arama","1898","Total",0
"Arama","1897","Total",0
"Arama","1896","Total",0
"Arama","<= 1895","Total",0
"Aretxabaleta","1949","Total",85
"Aretxabaleta","1948","Total",83
"Aretxabaleta","1947","Total",62
"Aretxabaleta","1946","Total",81
"Aretxabaleta","1945","Total",77
"Aretxabaleta","1944","Total",75
"Aretxabaleta","1943","Total",43
"Aretxabaleta","1942","Total",44
"Aretxabaleta","1941","Total",31
"Aretxabaleta","1940","Total",45
"Aretxabaleta","1939","Total",23
"Aretxabaleta","1938","Total",34
"Aretxabaleta","1937","Total",35
"Aretxabaleta","1936","Total",43
"Aretxabaleta","1935","Total",33
"Aretxabaleta","1934","Total",25
"Aretxabaleta","1933","Total",25
"Aretxabaleta","1932","Total",16
"Aretxabaleta","1931","Total",16
"Aretxabaleta","1930","Total",8
"Aretxabaleta","1929","Total",7
"Aretxabaleta","1928","Total",3
"Aretxabaleta","1927","Total",4
"Aretxabaleta","1926","Total",6
"Aretxabaleta","1925","Total",1
"Aretxabaleta","1924","Total",1
"Aretxabaleta","1923","Total",1
"Aretxabaleta","1922","Total",1
"Aretxabaleta","1921","Total",0
"Aretxabaleta","1920","Total",0
"Aretxabaleta","1919","Total",0
"Aretxabaleta","1918","Total",0
"Aretxabaleta","1917","Total",0
"Aretxabaleta","1916","Total",0
"Aretxabaleta","1915","Total",0
"Aretxabaleta","1914","Total",0
"Aretxabaleta","1913","Total",0
"Aretxabaleta","1912","Total",0
"Aretxabaleta","1911","Total",0
"Aretxabaleta","1910","Total",0
"Aretxabaleta","1909","Total",0
"Aretxabaleta","1908","Total",0
"Aretxabaleta","1907","Total",0
"Aretxabaleta","1906","Total",0
"Aretxabaleta","1905","Total",0
"Aretxabaleta","1904","Total",0
"Aretxabaleta","1903","Total",0
"Aretxabaleta","1902","Total",0
"Aretxabaleta","1901","Total",0
"Aretxabaleta","1900","Total",0
"Aretxabaleta","1899","Total",0
"Aretxabaleta","1898","Total",0
"Aretxabaleta","1897","Total",0
"Aretxabaleta","1896","Total",0
"Aretxabaleta","<= 1895","Total",0
"Arrasate/Mondragón","1949","Total",260
"Arrasate/Mondragón","1948","Total",241
"Arrasate/Mondragón","1947","Total",196
"Arrasate/Mondragón","1946","Total",245
"Arrasate/Mondragón","1945","Total",226
"Arrasate/Mondragón","1944","Total",208
"Arrasate/Mondragón","1943","Total",204
"Arrasate/Mondragón","1942","Total",136
"Arrasate/Mondragón","1941","Total",147
"Arrasate/Mondragón","1940","Total",156
"Arrasate/Mondragón","1939","Total",108
"Arrasate/Mondragón","1938","Total",133
"Arrasate/Mondragón","1937","Total",104
