service_id,service_name,service_category,municipality_code,latitude,longitude,reference_period,source_id,easting_m,northing_m
entity8DA20792,Centro de Salud Mental de Arrasate,mental_health,20055,43.0634076701305,-2.4831660437146232,2026-09-20,ODE_HEALTH_CENTRES_2026,542082.9797069733,4767985.750289015
entity93AABD71,Centro de Salud de Arrasate,primary_care,20055,43.0634076701305,-2.4831660437146232,2026-09-20,ODE_HEALTH_CENTRES_2026,542082.9797069733,4767985.750289015
entity13F7A477,Consultorio de Mutriku,primary_care,20056,43.30714101504333,-2.389105872797348,2026-09-20,ODE_HEALTH_CENTRES_2026,549544.2978850083,4795104.3703723
entity80EA1B01,Consultorio de Mutiloa,primary_care,20057,43.022236886015925,-2.2733774043456507,2026-09-20,ODE_HEALTH_CENTRES_2026,559204.5600990043,4763540.315144482
entityE020B623,Consultorio de Olaberria,primary_care,20058,43.03641821230378,-2.21612000552347,2026-09-20,ODE_HEALTH_CENTRES_2026,563855.1585610663,4765157.106051368
entity10969F0F,Centro de Salud de Oñati,primary_care,20059,43.03294533081465,-2.416691126854892,2026-09-20,ODE_HEALTH_CENTRES_2026,547519.1927384973,4764638.401632155
entity1B396481,Consultorio de Orexa,primary_care,20060,43.09391244165767,-2.01156404330839,2026-09-20,ODE_HEALTH_CENTRES_2026,580443.2493188314,4771717.7806450175
entity46F83D6E,Centro de Salud de Orio,primary_care,20061,43.275981740386285,-2.1293245457376893,2026-09-20,ODE_HEALTH_CENTRES_2026,570649.0416100904,4791830.836690613
entity771C7012,Consultorio de Ormaiztegi,primary_care,20062,43.04271494532885,-2.255105982014164,2026-09-20,ODE_HEALTH_CENTRES_2026,560673.1284764423,4765827.4396069115
entity84DCE82C,Centro de Salud de Oiartzun,primary_care,20063,43.298445732744135,-1.8618250783313008,2026-09-20,ODE_HEALTH_CENTRES_2026,592320.8685391007,4794586.455792298
entityA51B0B40,Ambulatorio de Pasai San Pedro,primary_care,20064,43.32329230919057,-1.929295713274758,2026-09-20,ODE_HEALTH_CENTRES_2026,586812.7022702495,4797273.448862634
entity94943E11,Ambulatorio de Pasai San Pedro,primary_care,20064,43.32329230919057,-1.929295713274758,2026-09-20,ODE_HEALTH_CENTRES_2026,586812.7022702495,4797273.448862634
entity90DD2178,Centro de Salud de Pasai Donibane,primary_care,20064,43.32453002335408,-1.917012644208508,2026-09-20,ODE_HEALTH_CENTRES_2026,587806.8377502696,4797423.748269622
entity3C01C255,Consultorio de Soraluze,primary_care,20065,43.17487346216715,-2.4133782077691217,2026-09-20,ODE_HEALTH_CENTRES_2026,547678.8075465363,4780401.503098426
entityD6C10D3B,Consultorio de Errezil,primary_care,20066,43.16501931246312,-2.173912282481256,2026-09-20,ODE_HEALTH_CENTRES_2026,567152.7294159663,4779471.362425869
entity9C21889E,Centro de Salud Mental de Errenteria,mental_health,20067,43.31428829513423,-1.910771050610432,2026-09-20,ODE_HEALTH_CENTRES_2026,588327.7359802956,4796292.928444727
entityBC1BAF15,Centro de Día de Errenteria,other_health,20067,43.31428829513423,-1.910771050610432,2026-09-20,ODE_HEALTH_CENTRES_2026,588327.7359802956,4796292.928444727
entity91954134,Ambulatorio de Larzabal,primary_care,20067,43.309836750341866,-1.8827268326249151,2026-09-20,ODE_HEALTH_CENTRES_2026,590608.5282667386,4795828.602956836
entity49268CAF,Centro de Salud de Errenteria-Beraun,primary_care,20067,43.31385089900464,-1.9112294233799652,2026-09-20,ODE_HEALTH_CENTRES_2026,588291.1986442197,4796243.868430752
entity34E82C38,Centro de Salud de Errenteria-Iztieta,primary_care,20067,43.31523515088846,-1.9011669872702055,2026-09-20,ODE_HEALTH_CENTRES_2026,589105.1706722155,4796408.28496424
entity488D63D1,PAC DE ERRENTERIA-IZTIETA,primary_care,20067,43.31523515088846,-1.9011669872702055,2026-09-20,ODE_HEALTH_CENTRES_2026,589105.1706722155,4796408.28496424
entity2772BA48,Consultorio de Leintz-Gatzaga,primary_care,20068,42.98691579556596,-2.5679316841123225,2026-09-20,ODE_HEALTH_CENTRES_2026,535224.6718764643,4759452.377232429
entityB90C729B,Hospital Universitario de Donostia,hospital,20069,43.292907649655966,-1.9687196827583755,2026-09-20,ODE_HEALTH_CENTRES_2026,583657.8504884255,4793858.83389764
entity4E9237C6,Centro de Salud Mental de Donostia Antiguo,mental_health,20069,43.31361476246078,-2.005252359137495,2026-09-20,ODE_HEALTH_CENTRES_2026,580666.9013536734,4796122.533128208
entity083DDCA3,Centro de Salud Mental de Donostia-Amara,mental_health,20069,43.30808529171807,-1.981064078038852,2026-09-20,ODE_HEALTH_CENTRES_2026,582635.9017755945,4795532.10330849
entity08BBED20,Centro de Salud Mental de Donostia-Egia,mental_health,20069,43.31696906345006,-1.9735555946224717,2026-09-20,ODE_HEALTH_CENTRES_2026,583232.7194940534,4796526.1509729605
entityCCC1F402,Centro de Salud Mental de Martutene (Centro Penitenciario),mental_health,20069,43.30296440025264,-1.9580338122309977,2026-09-20,ODE_HEALTH_CENTRES_2026,584510.7676390315,4794986.444375787
entity3398F257,Equipo de psiquiatría del niño y adolescente Donostialdea,mental_health,20069,43.324126638192176,-1.982705117751455,2026-09-20,ODE_HEALTH_CENTRES_2026,582481.1107864684,4797311.961023597
entity9DDE91B6,Centro de Adicciones Bitarte,other_health,20069,43.32362024816622,-1.97021249893006,2026-09-20,ODE_HEALTH_CENTRES_2026,583494.6982131836,4797268.139943251
entityD32FC8AF,Unidad de Atención Intensiva de Día,other_health,20069,43.30844800846867,-1.9918118509528924,2026-09-20,ODE_HEALTH_CENTRES_2026,581763.7635619334,4795561.807262336
