service_id,service_name,service_category,service_type_original,municipality_code,municipality_name,latitude,longitude,address,reference_period,source_id
entity2A3E39B5,PAC DE DONOSTIA,primary_care,PAC,20069,Donostia / San Sebastián,43.321899432877245,-1.98179049935228,"Bengoetxea, 4, 20004 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity26926018,PUNTO DE REFUERZO AMARA BERRI,primary_care,PAC,20069,Donostia / San Sebastián,43.30597269636659,-1.9820014913420856,"Javier Barkaiztegi, 2, 20010 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityBCD827A7,PUNTO DE REFUERZO GROS,primary_care,PAC,20069,Donostia / San Sebastián,43.325420614820295,-1.970594185206822,"Avenida Navarra, 14, 20013 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityEBF6CB77,Consultorio de Segura,primary_care,Consultorio,20070,Segura,43.00936659176156,-2.252950055931008,"Kale Nagusia, 9, 20214 Segura (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityA08EC1F6,Centro de Salud Mental de Tolosa,mental_health,Centro de Salud Mental,20071,Tolosa,43.136229860841006,-2.0790139331154105,"Barrio San Esteban, 21-B, 20400 Tolosa (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity37CC3072,Centro de Salud de Tolosa,primary_care,Centro de Salud,20071,Tolosa,43.13670767537059,-2.0765600223276954,"Jardín Gernikako Arbola, 10, 20400 Tolosa (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity02D72FD4,Consultorio de Amaroz,primary_care,Consultorio,20071,Tolosa,43.12603330320841,-2.077989186128764,"Barrio Amarotz, 10, 20400 Tolosa (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity8CC93949,Centro de Salud de Urnieta,primary_care,Centro de Salud,20072,Urnieta,43.25000137518337,-1.9901886016919872,"Plaza Etxeberri, 9, 20130 Urnieta (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity0F957D00,Centro de Salud de Usurbil,primary_care,Centro de Salud,20073,Usurbil,43.2719415007021,-2.049715864726021,"Paseo Gernika, 2, 20170 Usurbil (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity4ECBA8FE,Centro de Salud de Bergara,primary_care,Centro de Salud,20074,Bergara,43.11960327108315,-2.4182806922260456,"Paseo Boni Laskurain, 11, 20570 Bergara (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityB5228216,PAC DE BERGARA,primary_care,PAC,20074,Bergara,43.11960327108315,-2.4182806922260456,"Paseo Boni Laskurain, 11, 20570 Bergara (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity824911B8,PAC DE TOLOSALDEA,primary_care,PAC,20074,Bergara,43.11960327108315,-2.4182806922260456,"Paseo Boni Laskurain, 11, 20570 Bergara (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityF0E8348B,Centro de Salud de Villabona,primary_care,Centro de Salud,20075,Villabona,43.189218973972366,-2.052268749200748,"Erniobea, 0-A, 20150 Villabona (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity4EC7BAC0,Centro de Salud de Ordizia,primary_care,Centro de Salud,20076,Ordizia,43.05360119798279,-2.1781698586552003,"Etxezarreta, 11, 20240 Ordizia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityE1FFA405,Consultorio de Zaldibia,primary_care,Consultorio,20078,Zaldibia,43.03856007832245,-2.150301065961195,"Santa Fe, 21-A, 20247 Zaldibia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity46A22BE5,Centro de Salud Mental de Zarautz,mental_health,Centro de Salud Mental,20079,Zarautz,43.28226015370401,-2.1782658625817466,"Salbide, 10, 20800 Zarautz (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityFFC358CB,Ambulatorio de Zarautz,primary_care,Ambulatorio,20079,Zarautz,43.28226015370401,-2.1782658625817466,"Salbide, 10, 20800 Zarautz (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity5C9F8D19,Ambulatorio de Zarautz,primary_care,Centro de Salud,20079,Zarautz,43.28226015370401,-2.1782658625817466,"Salbide, 10, 20800 Zarautz (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityDC8FB110,PAC DE ZARAUTZ,primary_care,PAC,20079,Zarautz,43.28226015370401,-2.1782658625817466,"Salbide, 10, 20800 Zarautz (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityFFB756AE,Hospital de Día de Zumarraga,hospital,Hospital de Día,20080,Zumarraga,43.086460603321136,-2.317000942940739,"Hiri Lorategia, 20, 20700 Zumarraga (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity9768B2CE,Hospital de Zumarraga,hospital,Hospital,20080,Zumarraga,43.083862711467134,-2.3126616183348325,"Diseminado Sakabanatuak, 77, 20700 Zumarraga (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity716518B0,Centro de Salud Mental de Zumarraga,mental_health,Centro de Salud Mental,20080,Zumarraga,43.086460603321136,-2.317000942940739,"Hiri Lorategia, 20, 20700 Zumarraga (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
