municipality_code,municipality_name,population_total,population_65_plus,population_75_plus,pct_65_plus,pct_75_plus,reference_period,source_id,area_km2,services_hospital,services_mental_health,services_other_health,services_primary_care,services_total,primary_care_per_10000_65_plus,primary_care_per_10000_75_plus,hospital_per_10000_65_plus,hospital_per_10000_75_plus,mental_health_per_10000_65_plus,mental_health_per_10000_75_plus,other_health_per_10000_65_plus,other_health_per_10000_75_plus,representative_point_longitude,representative_point_latitude,distance_to_nearest_primary_care_m,distance_to_nearest_hospital_m,distance_to_nearest_mental_health_m,distance_to_nearest_other_health_m,metrics_reference_period,source_ids
20045,Irun,60665,14709,7604,24.246,12.534,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,41.88042371540888,0,2,0,4,6,2.719,5.26,0.0,0.0,1.36,2.63,0.0,0.0,-1.7920861,43.3208857,1862.8,2967.5,1657.8,9652.7,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20046,Irura,1846,222,91,12.026,4.93,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,2.901192493497727,0,0,0,1,1,45.045,109.89,0.0,0.0,0.0,0.0,0.0,0.0,-2.0589424,43.1668157,835.0,15804.9,3768.6,11371.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20047,Itsasondo,702,121,66,17.236,9.402,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,8.942324334529394,0,0,0,1,1,82.645,151.515,0.0,0.0,0.0,0.0,0.0,0.0,-2.1811911,43.0814235,1981.8,10705.5,3394.9,24360.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20048,Larraul,262,39,12,14.885,4.58,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,5.566813442368955,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1185889,43.1838864,2009.1,17166.6,6193.9,12235.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20049,Lazkao,5888,1147,558,19.48,9.477,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,11.592387393521655,0,0,0,1,1,8.718,17.921,0.0,0.0,0.0,0.0,0.0,0.0,-2.173517,43.0236836,1661.9,13156.0,3375.6,29638.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20050,Leaburu,383,89,43,23.238,11.227,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,3.3434674685861276,0,0,0,2,2,224.719,465.116,0.0,0.0,0.0,0.0,0.0,0.0,-2.0559663,43.1204146,581.3,20426.5,2569.0,16297.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20051,Legazpi,8377,2276,1190,27.17,14.206,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,42.120257592355145,0,0,0,1,1,4.394,8.403,0.0,0.0,0.0,0.0,0.0,0.0,-2.3349811,43.0286869,2624.8,6391.4,6580.9,36867.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20052,Legorreta,1499,309,165,20.614,11.007,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,8.602233868487039,0,0,0,1,1,32.362,60.606,0.0,0.0,0.0,0.0,0.0,0.0,-2.1490954,43.0896537,489.3,13329.4,5387.6,22217.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20053,Lezo,6188,1345,543,21.736,8.775,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,8.472135909314634,0,0,0,1,1,7.435,18.416,0.0,0.0,0.0,0.0,0.0,0.0,-1.8802176,43.3273037,1169.1,5539.2,2868.5,2868.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20054,Lizartza,700,147,77,21.0,11.0,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,12.126071315051158,0,0,0,1,1,68.027,129.87,0.0,0.0,0.0,0.0,0.0,0.0,-2.0355092,43.0949594,902.6,22592.3,5791.1,18858.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20055,Arrasate/Mondragón,22251,5903,2982,26.529,13.402,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,32.90749356721066,1,1,0,1,3,1.694,3.353,1.694,3.353,1.694,3.353,0.0,0.0,-2.5003604,43.0673789,1467.8,1533.9,1467.8,45077.3,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
